Matricule;Nom;Prénom;Sexe;Matière;Note;Barème
E1-CE1A-029;Agbodjan;Eric;Masculin;Anglais;6.50;10.00
E1-CE1A-029;Agbodjan;Eric;Masculin;Calcul mental;6.70;10.00
E1-CE1A-029;Agbodjan;Eric;Masculin;Chant;6.90;10.00
E1-CE1A-029;Agbodjan;Eric;Masculin;Education artistique et culturelle;7.10;10.00
E1-CE1A-029;Agbodjan;Eric;Masculin;Education sociale;7.20;10.00
E1-CE1A-029;Agbodjan;Eric;Masculin;Informatique;7.40;10.00
E1-CE1A-029;Agbodjan;Eric;Masculin;J'apprends à lire;7.60;10.00
E1-CE1A-029;Agbodjan;Eric;Masculin;Je sais écrire les mots;7.80;10.00
E1-CE1A-029;Agbodjan;Eric;Masculin;Je sais utiliser ce que j'ai appris;8.00;10.00
E1-CE1A-029;Agbodjan;Eric;Masculin;Mathématiques;8.20;10.00
E1-CE1A-029;Agbodjan;Eric;Masculin;Problème;8.40;10.00
E1-CE1A-029;Agbodjan;Eric;Masculin;Sciences et technologies;8.60;10.00
E1-CE1A-029;Agbodjan;Eric;Masculin;Sciences humaines;8.80;10.00
E1-CE1A-025;Agbozo;Eugene;M;Anglais;7.00;10.00
E1-CE1A-025;Agbozo;Eugene;M;Calcul mental;7.10;10.00
E1-CE1A-025;Agbozo;Eugene;M;Chant;7.30;10.00
E1-CE1A-025;Agbozo;Eugene;M;Education artistique et culturelle;7.50;10.00
E1-CE1A-025;Agbozo;Eugene;M;Education sociale;7.70;10.00
E1-CE1A-025;Agbozo;Eugene;M;Informatique;7.90;10.00
E1-CE1A-025;Agbozo;Eugene;M;J'apprends à lire;8.10;10.00
E1-CE1A-025;Agbozo;Eugene;M;Je sais écrire les mots;8.30;10.00
E1-CE1A-025;Agbozo;Eugene;M;Je sais utiliser ce que j'ai appris;8.50;10.00
E1-CE1A-025;Agbozo;Eugene;M;Mathématiques;8.70;10.00
E1-CE1A-025;Agbozo;Eugene;M;Problème;8.90;10.00
E1-CE1A-025;Agbozo;Eugene;M;Sciences et technologies;9.10;10.00
E1-CE1A-025;Agbozo;Eugene;M;Sciences humaines;9.20;10.00
E1-CE1A-039;Aka;Patricia;F;Anglais;7.40;10.00
E1-CE1A-039;Aka;Patricia;F;Calcul mental;7.60;10.00
E1-CE1A-039;Aka;Patricia;F;Chant;7.80;10.00
E1-CE1A-039;Aka;Patricia;F;Education artistique et culturelle;8.00;10.00
E1-CE1A-039;Aka;Patricia;F;Education sociale;8.20;10.00
E1-CE1A-039;Aka;Patricia;F;Informatique;8.40;10.00
E1-CE1A-039;Aka;Patricia;F;J'apprends à lire;8.60;10.00
E1-CE1A-039;Aka;Patricia;F;Je sais écrire les mots;8.80;10.00
E1-CE1A-039;Aka;Patricia;F;Je sais utiliser ce que j'ai appris;8.90;10.00
E1-CE1A-039;Aka;Patricia;F;Mathématiques;9.10;10.00
E1-CE1A-039;Aka;Patricia;F;Problème;9.30;10.00
E1-CE1A-039;Aka;Patricia;F;Sciences et technologies;9.50;10.00
E1-CE1A-039;Aka;Patricia;F;Sciences humaines;5.60;10.00
E1-CE1A-016;Aklesso;Khadija;F;Anglais;7.90;10.00
E1-CE1A-016;Aklesso;Khadija;F;Calcul mental;8.10;10.00
E1-CE1A-016;Aklesso;Khadija;F;Chant;8.30;10.00
E1-CE1A-016;Aklesso;Khadija;F;Education artistique et culturelle;8.50;10.00
E1-CE1A-016;Aklesso;Khadija;F;Education sociale;8.70;10.00
E1-CE1A-016;Aklesso;Khadija;F;Informatique;8.80;10.00
E1-CE1A-016;Aklesso;Khadija;F;J'apprends à lire;9.00;10.00
E1-CE1A-016;Aklesso;Khadija;F;Je sais écrire les mots;9.20;10.00
E1-CE1A-016;Aklesso;Khadija;F;Je sais utiliser ce que j'ai appris;9.40;10.00
E1-CE1A-016;Aklesso;Khadija;F;Mathématiques;9.60;10.00
E1-CE1A-016;Aklesso;Khadija;F;Problème;5.70;10.00
E1-CE1A-016;Aklesso;Khadija;F;Sciences et technologies;5.90;10.00
E1-CE1A-016;Aklesso;Khadija;F;Sciences humaines;6.10;10.00
E1-CE1A-046;Aklesso;Stella;F;Anglais;8.40;10.00
E1-CE1A-046;Aklesso;Stella;F;Calcul mental;8.60;10.00
E1-CE1A-046;Aklesso;Stella;F;Chant;8.80;10.00
E1-CE1A-046;Aklesso;Stella;F;Education artistique et culturelle;8.90;10.00
E1-CE1A-046;Aklesso;Stella;F;Education sociale;9.10;10.00
E1-CE1A-046;Aklesso;Stella;F;Informatique;9.30;10.00
E1-CE1A-046;Aklesso;Stella;F;J'apprends à lire;9.50;10.00
E1-CE1A-046;Aklesso;Stella;F;Je sais écrire les mots;5.60;10.00
E1-CE1A-046;Aklesso;Stella;F;Je sais utiliser ce que j'ai appris;5.80;10.00
E1-CE1A-046;Aklesso;Stella;F;Mathématiques;6.00;10.00
E1-CE1A-046;Aklesso;Stella;F;Problème;6.20;10.00
E1-CE1A-046;Aklesso;Stella;F;Sciences et technologies;6.40;10.00
E1-CE1A-046;Aklesso;Stella;F;Sciences humaines;6.60;10.00
E1-CE1A-013;Ali;Elisabeth;F;Anglais;8.80;10.00
E1-CE1A-013;Ali;Elisabeth;F;Calcul mental;9.00;10.00
E1-CE1A-013;Ali;Elisabeth;F;Chant;9.20;10.00
E1-CE1A-013;Ali;Elisabeth;F;Education artistique et culturelle;9.40;10.00
E1-CE1A-013;Ali;Elisabeth;F;Education sociale;9.60;10.00
E1-CE1A-013;Ali;Elisabeth;F;Informatique;5.70;10.00
E1-CE1A-013;Ali;Elisabeth;F;J'apprends à lire;5.90;10.00
E1-CE1A-013;Ali;Elisabeth;F;Je sais écrire les mots;6.10;10.00
E1-CE1A-013;Ali;Elisabeth;F;Je sais utiliser ce que j'ai appris;6.30;10.00
E1-CE1A-013;Ali;Elisabeth;F;Mathématiques;6.50;10.00
E1-CE1A-013;Ali;Elisabeth;F;Problème;6.60;10.00
E1-CE1A-013;Ali;Elisabeth;F;Sciences et technologies;6.80;10.00
E1-CE1A-013;Ali;Elisabeth;F;Sciences humaines;7.00;10.00
E1-CE1A-027;Amani;Akouvi;F;Anglais;9.30;10.00
E1-CE1A-027;Amani;Akouvi;F;Calcul mental;9.50;10.00
E1-CE1A-027;Amani;Akouvi;F;Chant;9.70;10.00
E1-CE1A-027;Amani;Akouvi;F;Education artistique et culturelle;5.80;10.00
E1-CE1A-027;Amani;Akouvi;F;Education sociale;6.00;10.00
E1-CE1A-027;Amani;Akouvi;F;Informatique;6.20;10.00
E1-CE1A-027;Amani;Akouvi;F;J'apprends à lire;6.40;10.00
E1-CE1A-027;Amani;Akouvi;F;Je sais écrire les mots;6.50;10.00
E1-CE1A-027;Amani;Akouvi;F;Je sais utiliser ce que j'ai appris;6.70;10.00
E1-CE1A-027;Amani;Akouvi;F;Mathématiques;6.90;10.00
E1-CE1A-027;Amani;Akouvi;F;Problème;7.10;10.00
E1-CE1A-027;Amani;Akouvi;F;Sciences et technologies;7.30;10.00
E1-CE1A-027;Amani;Akouvi;F;Sciences humaines;7.50;10.00
E1-CE1A-002;Amavi;Suzanne;F;Anglais;5.70;10.00
E1-CE1A-002;Amavi;Suzanne;F;Calcul mental;5.90;10.00
E1-CE1A-002;Amavi;Suzanne;F;Chant;6.10;10.00
E1-CE1A-002;Amavi;Suzanne;F;Education artistique et culturelle;6.20;10.00
E1-CE1A-002;Amavi;Suzanne;F;Education sociale;6.40;10.00
